"ID","square_meters","bathrooms_number","lift","rooms_number","other_features","total_floors_in_building","car_parking","availability","condominium_fees","year_of_construction","conditions","zone","floor","heating_centralized","energy_efficiency_class","selling_price"
52,90,"1","yes","3","security door | balcony | half-day concierge | centralized tv system | window frames in double glass / metal | double exposure","4","no","available","267",1910,"good condition / liveable","città studi","4","central","g",625000
53,64,"1","yes","2","electric gate | optic fiber | security door | internal exposure | closet | centralized tv system | cellar | window frames in double glass / metal","2","no","available","35",2009,"excellent / refurbished","dergano","mezzanine","independent","e",259000
54,50,"1","yes","2","electric gate | optic fiber | video entryphone | security door | external exposure | full day concierge | centralized tv system | furnished | cellar | window frames in double glass / pvc","8","no","available","150",1960,"new / under construction","porta romana - medaglie d'oro","ground floor","central","d",359000
55,122,"2","yes","3","tennis court | video entryphone | security door | balcony | terrace | partially furnished | cellar | window frames in double glass / pvcdouble exposure","5","1 in garage/box","available","180",2006,"excellent / refurbished","niguarda","4","independent","d",399000
56,55,"1","yes","1","video entryphone | security door | external exposure | centralized tv system | window frames in double glass / metal","4","no","available","133",1970,"good condition / liveable","bovisa","2","central","f",198000
57,95,"1","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | half-day concierge | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure","5","1 in garage/box","available","140",1950,"to be refurbished","porta romana - medaglie d'oro","2","independent","g",620000
58,60,"2","no","3","video entryphone | security door | centralized tv system | shared garden | window frames in double glass / pvcdouble exposure","5","no","available","78",1965,"excellent / refurbished","cimiano","semi-basement","central","g",249000
59,115,"2",NA,"4","electric gate | video entryphone | security door | balcony | terrace | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure","6","1 in garage/box",NA,"133",2001,"good condition / liveable","quartiere adriano","2","independent","d",415000
60,135,"1","no","3","tavern | terrace | centralized tv system | cellar | window frames in glass / wood | double exposure","3","no","available","300",1900,"to be refurbished","arco della pace","mezzanine","independent","g",830000
61,140,"3","yes","5","alarm system | kitchen | partially furnished | window frames in glass / metal","3","no","available","350",1930,"excellent / refurbished","corso genova","ground floor","central","g",845000
62,56,"1","yes","2","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | closet | balcony | centralized tv system | furnished | cellar | shared garden | window frames in double glass / metal","7","1 in garage/box","available","101",NA,"excellent / refurbished","piave - tricolore","4","independent","b",470000
63,50,"1","yes","2","centralized tv system | shared garden | window frames in double glass / wood | double exposure","4","no","available","60",1930,"excellent / refurbished","porta venezia","1","independent","g",395000
64,130,"1","yes","4","security door | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","5","no",NA,"375",1930,"to be refurbished","dezza","mezzanine","central","f",780000
65,70,"1","yes","2","video entryphone | security door | balcony | full day concierge | double exposure","7","no",NA,"200",1960,"excellent / refurbished","piazzale siena","4","central","g",269000
66,28,"1","no","1","optic fiber | internal exposure","4","no","available","50",1930,"good condition / liveable","parco trotter","4","independent","g",85000
67,90,"2","yes","3","electric gate | attic | optic fiber | video entryphone | security door | internal exposure | balcony | full day concierge | centralized tv system | window frames in double glass / pvc","6","no","available","300",1970,"excellent / refurbished","pezzotti - meda","1","central","e",470000
68,80,"2","no","2","attic | optic fiber | security door | internal exposure | closet | balcony | single tv system | partially furnished | window frames in double glass / wood","2","no","available","66",1940,"excellent / refurbished","cadore","1","independent","f",460000
69,140,"2","yes","5","security door | balcony | full day concierge | cellar","5","no","available","No condominium fees",NA,"new / under construction","repubblica","3","central","g",1017000
70,159,"2","yes","4","electric gate | attic | optic fiber | video entryphone | alarm system | security door | balcony | terrace | centralized tv system | cellar | shared garden | window frames in triple glass / pvcdouble exposure","3","1 in garage/box","available","200",2024,"new / under construction","quinto romano","2","independent","a",570000
71,60,"1","yes","2","electric gate | optic fiber | security door | external exposure | closet | balcony | centralized tv system | partially furnished | cellar | window frames in double glass / pvc","5","no","available","200",1960,"excellent / refurbished","molise - cuoco","4","central","f",249000
72,45,"1","no","1","optic fiber | security door | terrace | partially furnished | double exposure","3","no","available","No condominium fees",1900,"good condition / liveable","pasteur","3","central","f",169000
73,110,"2","yes","3","optic fiber | video entryphone | security door | terrace | centralized tv system | cellar | window frames in double glass / wood | double exposure","4","no","available","83",NA,"good condition / liveable","navigli - darsena","1","independent",NA,645000
74,232,"3+","yes","5","optic fiber | closet | balcony | terrace | centralized tv system | partially furnished | cellar | window frames in double glass / metal | double exposure","5","1 in garage/box, 1 in shared parking","available","200",1979,"excellent / refurbished","san siro","3","independent","c",980000
75,41,"1","no","1","security door | shared garden | window frames in double glass / pvc","3","no","available","100",1960,"excellent / refurbished","roserio","mezzanine","central","e",95000
76,60,"1","yes","2","electric gate | optic fiber | security door | centralized tv system | partially furnished | shared garden | window frames in glass / metal | double exposure","4","no","available","25",1960,"excellent / refurbished","cermenate - abbiategrasso","semi-basement","independent",NA,220000
77,77,"1","yes","2","electric gate | optic fiber | video entryphone | alarm system | security door | balcony | centralized tv system | cellar | private garden | window frames in triple glass / pvcdouble exposure","3","1 in garage/box","available","150",2024,"new / under construction","quinto romano","ground floor","independent","a",270000
78,91,"1","no","2","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | terrace | centralized tv system | cellar | window frames in double glass / metal","2","no","available","93",1950,"good condition / liveable","san siro","1","independent","g",299000
79,172,"2","yes","5","optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure","6","no","available","500",1961,"to be refurbished","centrale","5","central","g",890000
80,60,"1","yes","2","security door | external exposure | balcony | half-day concierge | centralized tv system | window frames in double glass / pvc","5","no","available","150",1960,"good condition / liveable","greco - segnano","2","central","f",255000
81,73,"1","yes","2","external exposure | balcony | terrace | single tv system | cellar | window frames in glass / wood","4","no",NA,"233",1960,"to be refurbished","baggio","1","central","g",159000
82,65,"1","yes","3","electric gate | optic fiber | video entryphone | security door | half-day concierge | centralized tv system | shared garden | window frames in glass / wood | double exposure","4","no","available",NA,1950,"good condition / liveable","gambara","4","independent",NA,365000
83,54,"1","yes","2","internal exposure | centralized tv system | cellar | window frames in double glass / metal","6","no","available","138",1960,"good condition / liveable","niguarda","6","central","g",209000
84,106,"1","no","4","security door | balcony | single tv system | cellar | window frames in glass / wood | double exposure","4","1 in garage/box, 1 in shared parking","available","208",1970,"to be refurbished","ortica","1","central","g",285000
85,85,"1","no","2","optic fiber | video entryphone | security door | centralized tv system | window frames in double glass / pvcdouble exposure","2","no","available","100",1960,"excellent / refurbished","rogoredo","mezzanine","central","d",265000
86,168,"2","yes","4","electric gate | optic fiber | video entryphone | alarm system | security door | balcony | full day concierge | single tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","8","no","available","700",2023,"new / under construction","san vittore","5","central",NA,1690000
87,115,"2","yes","3","security door | balcony","4","no","available","No condominium fees",NA,"new / under construction","buenos aires","3","central","g",909000
88,140,"2","yes","4","electric gate | video entryphone | alarm system | security door | internal exposure | balcony | terrace | centralized tv system | cellar | window frames in double glass / wood","14","no","available",NA,2012,"excellent / refurbished","bignami - ponale","1","central","b",590000
89,80,"1","yes","3","optic fiber | video entryphone | alarm system | security door | external exposure | closet | full day concierge | centralized tv system | window frames in double glass / pvc","6","no","available","220",1960,"excellent / refurbished","san vittore","mezzanine","central","e",715000
90,90,"1","yes","3","electric gate | optic fiber | security door | balcony | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","14","1 in garage/box",NA,"250",1970,"good condition / liveable","gallaratese","1","central","e",242000
91,38,"1","no","2","optic fiber | video entryphone | security door | internal exposure | centralized tv system | furnished | cellar | window frames in double glass / pvc","3","no","available","100",1960,"good condition / liveable","certosa","mezzanine","central",NA,185000
92,65,"1","yes","2","balcony | furnished | window frames in double glass / pvcexposure east, west","8","no","available","188",1960,"excellent / refurbished","tripoli - soderini","8","central","g",385000
93,80,"1","yes","2","optic fiber | security door | internal exposure | full day concierge | single tv system | cellar | shared garden | window frames in triple glass / pvc","7","1 in garage/box","available","No condominium fees",2023,"excellent / refurbished","bologna - sulmona","7","central","g",269000
94,107,"2","yes","4","electric gate | optic fiber | internal exposure | closet | terrace | full day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / metal","7","1 in shared parking","available","260",1970,"good condition / liveable","gallaratese","1","central","e",3e+05
95,80,"1","no","3","optic fiber | security door | balcony | centralized tv system | partially furnished | window frames in double glass / metal | double exposure","4","no","available","250",1950,"good condition / liveable","lodi - brenta","3","central","e",299000
96,47,"1","yes","2","optic fiber | video entryphone | security door | centralized tv system | furnished | shared garden | window frames in double glass / wood | double exposure","2","no","available",NA,2016,"excellent / refurbished","lodi - brenta","1","independent","b",299800
97,58,"1","no","2","optic fiber | security door | centralized tv system | window frames in double glass / pvc","5","no","available","208",2023,"new / under construction","porta romana - medaglie d'oro","ground floor","central","c",369000
98,85,"1","yes","3","electric gate | optic fiber | video entryphone | security door | internal exposure | closet | balcony | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvc","8","no","available","180",1960,"excellent / refurbished","tre castelli - faenza","1","central","g",342000
99,65,"2","yes","3","electric gate | optic fiber | video entryphone | security door | external exposure | closet | balcony | centralized tv system | partially furnished | window frames in glass / pvc","8","no","available","270",1980,"excellent / refurbished","corvetto","2","central","c",365000
100,120,"2","yes","3","electric gate | optic fiber | video entryphone | security door | external exposure | closet | centralized tv system | partially furnished | cellar | window frames in double glass / wood","3","1 in garage/box","available","280",1955,"excellent / refurbished","ghisolfa - mac mahon","ground floor","central","f",375000
101,70,"1","no","2","electric gate | optic fiber | video entryphone | alarm system | security door | closet | terrace | centralized tv system | shared garden | window frames in double glass / pvcdouble exposure","1 floor","no","available",NA,2024,"new / under construction","tre castelli - faenza","1","independent",NA,245000
102,96,"1","yes","3","optic fiber | video entryphone | alarm system | security door | terrace | cellar | shared garden | window frames in double glass / wood","7","1 in garage/box",NA,"133",2010,"excellent / refurbished","lodi - brenta","1","independent","b",634000
103,150,"2","yes","3","optic fiber | security door | balcony | full day concierge | centralized tv system | partially furnished | cellar | window frames in glass / wood | double exposure","8","1 in garage/box","available","370",1970,"excellent / refurbished","gambara","7","central","f",950000
104,45,"1","no","2","electric gate | optic fiber | security door | external exposure | half-day concierge | centralized tv system | cellar | window frames in double glass / pvc","5","no","available","125",1930,"excellent / refurbished","parco trotter","2","independent","d",246000
105,74,"1","yes","2","security door | balcony | half-day concierge | centralized tv system | cellar | window frames in double glass / pvcdouble exposure","6","no","available","250",1960,"good condition / liveable","udine","2","central","g",335000
106,86,"1","no","3","video entryphone | security door | centralized tv system | furnished | cellar | window frames in double glass / pvc","2","no","available","208",1960,"excellent / refurbished","precotto","1","central",NA,355000
107,40,"1","yes","1","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | terrace | centralized tv system | window frames in triple glass / wood","1 floor","2 in garage/box","available","150",2023,"new / under construction","monte rosa - lotto","1","independent","a",262000
108,48,"1","no","2","optic fiber | video entryphone | security door | internal exposure | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvc","4","1 in shared parking","available","110",1970,"excellent / refurbished","villa san giovanni","1","central","f",219000
109,95,"2","yes","3","electric gate | optic fiber | security door | balcony | centralized tv system | partially furnished | cellar | shared garden | window frames in glass / metal | double exposure","8","1 in garage/box",NA,"160",1980,"good condition / liveable","cantalupa - san paolo","6","central","g",264000
110,149,"2","yes","4","security door | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / wood | double exposure","6","1 in garage/box","available","362",1970,"good condition / liveable","udine","5","central","f",695000
111,160,"2","yes","4","hydromassage | electric gate | security door | closet | balcony | full day concierge | partially furnished | cellar | window frames in double glass / pvcdouble exposure","8","1 in garage/box","available","400",NA,"excellent / refurbished","dezza","2","central",NA,1350000
112,30,"1","no","1",NA,"2","no",NA,"50",1950,"to be refurbished","ortica","1","central","g",107000
113,65,"1","yes","2","electric gate | optic fiber | video entryphone | security door | closet | centralized tv system | furnished | window frames in double glass / pvcdouble exposure","4","no","available from 15/06/2024","111",1900,"excellent / refurbished","isola","ground floor","independent","g",4e+05
114,100,"2","yes","3","security door | balcony | full day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure","6","no","available","200",1900,"excellent / refurbished","sempione","1","central","e",760000
115,50,"1","yes","2","electric gate | fireplace | optic fiber | security door | balcony | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / metal | double exposure","4","no","available","85",1800,"excellent / refurbished","corso san gottardo","1","independent","e",349000
116,67,"1","yes","3","optic fiber | security door | internal exposure | balcony | full day concierge | centralized tv system | partially furnished | shared garden | window frames in double glass / metal","8","no","available","175",1970,"good condition / liveable","lodi - brenta","4","central","f",459000
117,165,"3","yes","5+","electric gate | optic fiber | video entryphone | security door | balcony | terrace | half-day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","4","1 in garage/box","available","450",1970,"good condition / liveable","montenero","2","central","e",1350000
118,700,"3+","no","5+","hydromassage | electric gate | fireplace | tavern | optic fiber | video entryphone | alarm system | security door | closet | balcony | terrace | single tv system | cellar | private garden | window frames in glass / metal | double exposure","1 floor","2 in garage/box, 1 in shared parking","available","200",1972,"good condition / liveable","gallaratese","ground floor","independent","f",1900000
119,49,"1","yes","2","electric gate | optic fiber | security door | internal exposure | cellar | window frames in double glass / pvc","4","no","available","80",1960,"excellent / refurbished","certosa","4","central",NA,230000
120,255,"3","yes","4","electric gate | fireplace | optic fiber | video entryphone | alarm system | security door | external exposure | balcony | terrace | full day concierge | centralized tv system | cellar | window frames in double glass / wood","5","no",NA,"1665",1968,"excellent / refurbished","arco della pace","4","central",NA,1980000
121,50,"1","no","2","electric gate | optic fiber | video entryphone | security door | closet | centralized tv system | furnished | cellar | shared garden | window frames in double glass / metal | double exposure","4","no","available",NA,1960,"good condition / liveable","turro","1","independent","g",198000
122,48,"1","no","2","electric gate | optic fiber | video entryphone | security door | closet | half-day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure","6","no","available","100",1900,"excellent / refurbished","cadore","2","independent","f",340000
123,41,"1","yes","2","electric gate | optic fiber | video entryphone | security door | external exposure | balcony | half-day concierge | centralized tv system | only kitchen furnished | cellar | window frames in double glass / pvc","5","no","available","160",1930,"excellent / refurbished","indipendenza","2","independent",NA,360000
124,50,"1","no","2","optic fiber | video entryphone | security door | internal exposure | balcony | full day concierge | centralized tv system | cellar | window frames in double glass / pvc","4","no","available","100",1900,"excellent / refurbished","turati","1","independent","g",415000
125,115,"1","yes","3","optic fiber | security door | balcony | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure","5","no","available",NA,1960,"excellent / refurbished","chiesa rossa","1","central",NA,315000
126,150,"2","yes","4","electric gate | optic fiber | security door | terrace | full day concierge | centralized tv system | cellar | shared garden | double exposure","7","1 in garage/box","available","500",1976,"to be refurbished","bande nere","6","central","g",795000
127,64,"1","yes","2","electric gate | optic fiber | video entryphone | security door | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / metal | double exposure","4","no","available","150",1975,"excellent / refurbished","amendola - buonarroti","ground floor","central","e",458000
128,112,"2","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | centralized tv system | cellar | private garden | window frames in glass / pvc","7","1 in garage/box","available",NA,2025,"new / under construction","quartiere forlanini","ground floor","independent","a",490500
129,139,"3","yes","4","electric gate | video entryphone | security door | terrace | centralized tv system | window frames in glass / pvc","6","no",NA,NA,2024,"new / under construction","bisceglie","1","central","a",759000
130,77,"1","yes","3","video entryphone | security door | window frames in triple glass / metal | double exposure","2","no","available","80",2024,"new / under construction","sempione","2","independent","a",619000
131,35,"1","yes","1","security door | internal exposure | centralized tv system | furnished | window frames in double glass / pvc","5","no","available","150",1960,"excellent / refurbished","gambara","semi-basement","central","d",177000
132,43,"1","yes","2","optic fiber | security door | external exposure | full day concierge | centralized tv system | shared garden | window frames in double glass / pvc","10","no","available","150",1970,"excellent / refurbished","repubblica","mezzanine","central","f",435000
133,50,"1","yes","2","electric gate | video entryphone | security door | terrace | window frames in double glass / metal | double exposure","3","no","available",NA,2023,"new / under construction","dergano","3","independent","a",370000
134,70,"1","yes","2","security door | centralized tv system | shared garden | window frames in glass / wood | double exposure","3","no","available","125",1900,"good condition / liveable","corso san gottardo","2","independent","g",450000
135,43,"1","no","2","video entryphone | full day concierge | furnished | shared garden","3","no","available","No condominium fees",1990,"excellent / refurbished","san siro","ground floor","central","b",305000
136,105,"2","yes","3","security door | balcony | cellar","5","no","available","No condominium fees",NA,"new / under construction","isola","1","central","g",837000
137,100,"1","yes","3","electric gate | optic fiber | alarm system | security door | external exposure | closet | balcony | centralized tv system | window frames in double glass / metal","6","no","available","115",1960,"good condition / liveable","certosa","2","independent","d",345000
138,35,"1","yes","1","optic fiber | alarm system | security door | internal exposure | closet | balcony | half-day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvc","4","no",NA,"125",1970,"good condition / liveable","ponte nuovo","3","central","c",99000
139,152,"3","yes","4","video entryphone | security door | internal exposure | balcony | terrace | centralized tv system | cellar | shared garden | window frames in double glass / metal","7","no","available",NA,2021,"new / under construction","san vittore","4","central","a",430000
140,80,"1","yes","2","fireplace | security door | external exposure | balcony | terrace | full day concierge | furnished | window frames in double glass / wood","8","no","available","200",1950,"good condition / liveable","giambellino","8","central","g",360000
141,76,"1","yes","2","electric gate | optic fiber | video entryphone | security door | balcony | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure","6","no","available","122",1960,"good condition / liveable","turro","6","central","g",265000
142,50,"1","yes","2","electric gate | optic fiber | internal exposure | balcony | half-day concierge | centralized tv system | cellar | window frames in glass / wood","8","no","available","150",1965,"to be refurbished","san siro","2","central","g",230000
